Courant,Resistance,Voltage
0.014940490794530503,1000,14.940490794530502
0.004543787682442586,1000,4.543787682442586
0.011448031451050836,1000,11.448031451050836
0.01458046954902858,1000,14.58046954902858
0.010339282648852921,10000,103.39282648852921
0.01219945035113652,220,2.6838790772500345
0.012253853515029967,220,2.6958477733065926
1.1398120834429925e-05,220,0.0025075865835745836
0.00714918034864031,10000,71.4918034864031
0.0034678241043690355,220,0.7629213029611879
0.004168537675674076,10000,41.68537675674076
0.000988734105259304,220,0.2175215031570469
0.007821950975048805,220,1.7208292145107371
0.008237938828252913,1000,8.237938828252913
0.0034807749957650722,10000,34.80774995765072
0.010420867342765022,1000,10.420867342765021
0.01309632110135726,10000,130.96321101357262
0.003997568814282738,1000,3.9975688142827384
0.004035480967563739,10000,40.35480967563739
0.014897486998238885,10000,148.97486998238887
0.004686027346003842,1000,4.686027346003842
0.009373690008842235,10000,93.73690008842235
0.0027470017812812096,10000,27.470017812812095
0.009133515894256587,1000,9.133515894256588
0.014579333337502465,1000,14.579333337502465
0.013293078072274244,10000,132.93078072274244
0.012106926188160035,220,2.663523761395208
0.010654008828002647,220,2.343881942160582
0.014846714760937667,220,3.2662772474062867
0.007399571772983271,10000,73.9957177298327
0.012559776040836424,220,2.7631507289840136
0.009221613656231649,10000,92.21613656231649
0.00032547565014642567,220,0.07160464303221364
0.007903468761786282,10000,79.03468761786282
0.00425118078968669,220,0.9352597737310719
0.010255801005255036,220,2.256276221156108
0.0019290531510926096,1000,1.9290531510926097
0.002537762433176805,220,0.5583077352988971
0.010196509196592995,10000,101.96509196592994
0.00547719568575053,1000,5.47719568575053
0.009414578667730248,10000,94.14578667730248
0.009572577944455513,220,2.1059671477802127
0.012687594987563526,1000,12.687594987563525
0.0038431485265277847,220,0.8454926758361127
0.013710065770786178,1000,13.710065770786178
0.008533957560888117,220,1.8774706633953857
0.0029225975633760323,10000,29.225975633760324
0.012521798879668268,220,2.754795753527019
0.013476828929870973,220,2.964902364571614
0.011004114331572704,1000,11.004114331572705
0.0149459444498804,1000,14.9459444498804
0.0007821451935728085,220,0.17207194258601788
0.011286004936498466,1000,11.286004936498466
0.008179471933643795,1000,8.179471933643795
0.005178975774262191,10000,51.789757742621916
0.01441608129541232,10000,144.1608129541232
0.003800979323601025,1000,3.800979323601025
0.005255434424150752,1000,5.255434424150752
0.00231357818873244,220,0.5089872015211367
0.00038601388295692317,1000,0.3860138829569232
0.000431481876596681,10000,4.31481876596681
0.004125064980367037,220,0.9075142956807482
0.0009038833729220135,220,0.19885434204284297
0.0003597533543879844,1000,0.3597533543879844
0.004010765835792978,220,0.8823684838744551
0.007901267303037285,1000,7.901267303037285
0.003709521142378512,10000,37.09521142378512
0.013977783680584275,10000,139.77783680584275
0.007096153226812766,1000,7.096153226812766
0.008885793913447002,1000,8.885793913447001
0.013033010298619852,220,2.8672622656963673
0.001035050551151554,220,0.22771112125334186
0.007296789530323701,10000,72.96789530323701
0.0073427807996967985,1000,7.342780799696799
0.00689452812638809,1000,6.8945281263880895
0.007578940639947549,10000,75.7894063994755
0.0131460949782551,10000,131.460949782551
0.007689141234843332,1000,7.689141234843333
0.01084817458317891,10000,108.4817458317891
0.010869780209704449,220,2.3913516461349786
0.009615239769730664,10000,96.15239769730664
0.00394247143155363,220,0.8673437149417986
0.01378849175212101,220,3.033468185466622
0.0010301946958474189,220,0.22664283308643215
0.004214585729512436,10000,42.145857295124365
0.006933858060788653,10000,69.33858060788653
0.014313061678497534,220,3.1488735692694574
0.0015994362204292472,10000,15.994362204292472
0.0014505851812476255,10000,14.505851812476255
0.014328554479836891,1000,14.32855447983689
0.0032145883074172358,10000,32.14588307417236
0.003326071823095301,10000,33.26071823095301
0.014003305446459098,220,3.0807271982210014
0.010245369500485697,1000,10.245369500485698
0.013236965655294341,220,2.912132444164755
0.00706734922516462,220,1.5548168295362164
0.01434575484326588,220,3.1560660655184933
0.004906002531715696,1000,4.906002531715696
0.0019716616838952148,220,0.43376557045694725
0.012830166924653549,220,2.8226367234237806
